# ins_reference_points_SrTiO3.csv - assembled 2026-07-15 from pre-digitized data
# source: Vogt, Phys. Rev. B 51, 8046 (1995), Fig. 6 (hyper-Raman, zone-center soft mode)
# digitization: WebPlotDigitizer CSVs from ferroelectric-ins-ml qe/anchoring/vogt1995_fig6/
# NOTE: Vogt 1995 prints no numeric frequencies for stable optic branches (TO2, TO4,
#   F2u, LO); it anchors ONLY the renormalized soft mode. The harmonic soft mode is
#   imaginary, so these points validate renormalized (Route H) frequencies, not the
#   bare harmonic dispersion. Uncertainty ~ +/-0.15 meV (source README).
# derived 300 K anchor: omega_s = 89.24 cm-1 (11.06 meV); gamma_full = 23.0 cm-1
#   -> Gamma_HWHM = 11.5 cm-1 (convention FULL_GAMMA_CONFIRMED, Vogt Eq. (13))
# STABLE-BRANCH ANCHORS added 2026-07-15 (Gate G1 resolution item 4):
#   Servoin, Luspin, Gervais, Phys. Rev. B 22, 5501 (1980) [IR, 297 K] and
#   Stirling, J. Phys. C 5, 2711 (1972) [INS, 297 K]. Values as tabulated with
#   per-value attribution in Evarestov et al., arXiv:1008.4003, Tables 4-5;
#   page-check the originals before manuscript use. Soft modes (TO1 at Gamma,
#   R4+ AFD) are renormalized experimental values - the harmonic counterparts
#   are imaginary and not directly comparable.
mode_label,q_label,qx,qy,qz,value,unit,temperature_K,provenance
TO1_soft_F1u_damping_full,Gamma,0,0,0,10.56,cm-1,151.2,"Vogt PRB 51 8046 (1995) Fig. 6 right axis; FULL damping gamma per Eq. (13); HWHM Gamma = gamma/2"
TO1_soft_F1u_damping_full,Gamma,0,0,0,11.32,cm-1,162.7,"Vogt PRB 51 8046 (1995) Fig. 6 right axis; FULL damping gamma per Eq. (13); HWHM Gamma = gamma/2"
TO1_soft_F1u_damping_full,Gamma,0,0,0,12.55,cm-1,174.1,"Vogt PRB 51 8046 (1995) Fig. 6 right axis; FULL damping gamma per Eq. (13); HWHM Gamma = gamma/2"
TO1_soft_F1u_damping_full,Gamma,0,0,0,13.65,cm-1,182.5,"Vogt PRB 51 8046 (1995) Fig. 6 right axis; FULL damping gamma per Eq. (13); HWHM Gamma = gamma/2"
TO1_soft_F1u_damping_full,Gamma,0,0,0,15.03,cm-1,192.9,"Vogt PRB 51 8046 (1995) Fig. 6 right axis; FULL damping gamma per Eq. (13); HWHM Gamma = gamma/2"
TO1_soft_F1u_damping_full,Gamma,0,0,0,15.85,cm-1,201.2,"Vogt PRB 51 8046 (1995) Fig. 6 right axis; FULL damping gamma per Eq. (13); HWHM Gamma = gamma/2"
TO1_soft_F1u_damping_full,Gamma,0,0,0,17.16,cm-1,210.6,"Vogt PRB 51 8046 (1995) Fig. 6 right axis; FULL damping gamma per Eq. (13); HWHM Gamma = gamma/2"
TO1_soft_F1u_damping_full,Gamma,0,0,0,17.37,cm-1,224.1,"Vogt PRB 51 8046 (1995) Fig. 6 right axis; FULL damping gamma per Eq. (13); HWHM Gamma = gamma/2"
TO1_soft_F1u_damping_full,Gamma,0,0,0,18.19,cm-1,219.9,"Vogt PRB 51 8046 (1995) Fig. 6 right axis; FULL damping gamma per Eq. (13); HWHM Gamma = gamma/2"
TO1_soft_F1u_damping_full,Gamma,0,0,0,19.22,cm-1,230.3,"Vogt PRB 51 8046 (1995) Fig. 6 right axis; FULL damping gamma per Eq. (13); HWHM Gamma = gamma/2"
TO1_soft_F1u_damping_full,Gamma,0,0,0,19.70,cm-1,249.1,"Vogt PRB 51 8046 (1995) Fig. 6 right axis; FULL damping gamma per Eq. (13); HWHM Gamma = gamma/2"
TO1_soft_F1u_damping_full,Gamma,0,0,0,20.93,cm-1,239.7,"Vogt PRB 51 8046 (1995) Fig. 6 right axis; FULL damping gamma per Eq. (13); HWHM Gamma = gamma/2"
TO1_soft_F1u_damping_full,Gamma,0,0,0,21.15,cm-1,261.6,"Vogt PRB 51 8046 (1995) Fig. 6 right axis; FULL damping gamma per Eq. (13); HWHM Gamma = gamma/2"
TO1_soft_F1u_damping_full,Gamma,0,0,0,22.11,cm-1,273.1,"Vogt PRB 51 8046 (1995) Fig. 6 right axis; FULL damping gamma per Eq. (13); HWHM Gamma = gamma/2"
TO1_soft_F1u_damping_full,Gamma,0,0,0,22.66,cm-1,286.7,"Vogt PRB 51 8046 (1995) Fig. 6 right axis; FULL damping gamma per Eq. (13); HWHM Gamma = gamma/2"
