# nonlinearity_SrTiO3.csv - produced by scripts/check_shear_nonlinearity.py
# (A5' scope cut, 2026-07-18; q-convention + degenerate-pairing fixed 2026-07-20,
# see G1' incident log in data/processed/reports/GATE_1p.md)
# BZ-weighted <gamma_xy>=0.002054 rms(gamma_xy)=7.434158 |<gamma_xy>|/rms=0.000276 (pass)
# off-grid 11^3: non-degenerate 18385 stable, 2961 flagged (16.1%); degenerate 1443 stable, 390 flagged (27.0%)
# on-grid 4^3 (exact): non-degenerate 683 stable, 99 flagged (14.5%); degenerate 260 stable, 56 flagged (21.5%)
# eta_44 sensitivity @ 300K: Delta_eta/eta = +1.3768(+)/+0.8707(-), worst=1.3768
# DECISION (omega-space): FAIL
# omega^2 basis: BZ <gamma_omega2>=0.036914 rms=5.306441 |mean|/rms=0.006957; on-grid non-degenerate flag rate=27.5%; eta_44 sensitivity worst=21.9234
# DECISION (omega^2-space, task 2 criteria): FAIL
q_index,qx,qy,qz,branch,omega_ref_cm1,gamma_xy,a1_linear,a2_curvature,curvature_over_rms_gamma,D_domega2,b2_curvature_omega2,gamma_omega2,a2_pred_sqrt,unstable_flag,degenerate_flag,flag_gt_threshold
5,0.000000,0.000000,0.454500,12,507.5925,2.1241,-1078.1775,-1691.6600,0.0022,-1094458.4428,-554809.6131,2.1239,-1144.8879,0,1,0
5,0.000000,0.000000,0.454500,13,507.5925,-2.1359,1084.1529,8208.9400,0.0109,1101060.7621,9510665.0304,-2.1367,-1158.7426,0,1,0
5,0.000000,0.000000,0.454500,14,526.7625,0.0007,-0.3546,313.8800,0.0004,-373.5855,330682.9938,0.0007,-0.0001,0,0,0
5,0.000000,0.000000,0.454500,15,753.4474,-0.0027,2.0250,-1931.6800,0.0017,3051.2664,-2910741.1619,-0.0027,-0.0027,0,0,0
6,0.000000,0.000000,0.545500,1,94.1282,8.8861,-836.4307,16776.3800,0.1199,-158165.0481,3864913.4264,8.9257,-3749.4863,0,1,1
6,0.000000,0.000000,0.545500,2,94.1282,-8.8204,830.2493,16122.5000,0.1152,156969.0307,3730976.1166,-8.8582,-3692.9948,0,1,1
6,0.000000,0.000000,0.545500,3,112.4113,7.4827,-841.1352,-32255.0000,0.1930,-187749.7375,-6518137.8156,7.4290,-3101.9747,0,1,1
6,0.000000,0.000000,0.545500,4,112.4113,-7.4064,832.5638,-33951.0000,0.2031,185765.9144,-6910975.9071,-7.3505,-3036.7682,0,1,1
6,0.000000,0.000000,0.545500,5,161.3193,1.6242,-262.0071,3915.6200,0.0163,-84584.9246,1332361.5455,1.6251,-213.0279,0,1,0
6,0.000000,0.000000,0.545500,6,161.3193,-1.6866,272.0745,-2071.5800,0.0086,87753.5801,-594240.0461,-1.6860,-229.2875,0,1,0
6,0.000000,0.000000,0.545500,7,162.6092,0.0007,-0.1177,682.5400,0.0028,-38.2822,221986.2653,0.0007,-0.0000,0,0,0
6,0.000000,0.000000,0.545500,8,271.6448,-0.0159,4.3119,-3294.1000,0.0082,2341.9000,-1789360.2302,-0.0159,-0.0342,0,0,0
6,0.000000,0.000000,0.545500,9,272.4712,-0.0079,2.1599,60.7400,0.0001,1177.0275,33104.5556,-0.0079,-0.0086,0,0,0
6,0.000000,0.000000,0.545500,10,308.5306,0.9045,-279.0744,2806.8800,0.0061,-172245.1282,1810096.0016,0.9047,-126.2727,0,1,0
6,0.000000,0.000000,0.545500,11,308.5306,-0.9330,287.8660,2652.8400,0.0058,177669.0995,1720007.1945,-0.9332,-134.3505,0,1,0
6,0.000000,0.000000,0.545500,12,507.5925,2.1241,-1078.1775,-1691.6600,0.0022,-1094458.4428,-554809.6131,2.1239,-1144.8879,0,1,0
6,0.000000,0.000000,0.545500,13,507.5925,-2.1359,1084.1529,8208.9400,0.0109,1101060.7621,9510665.0304,-2.1367,-1158.7426,0,1,0
6,0.000000,0.000000,0.545500,14,526.7625,0.0007,-0.3546,313.8800,0.0004,-373.5855,330682.9938,0.0007,-0.0001,0,0,0
6,0.000000,0.000000,0.545500,15,753.4474,-0.0027,2.0250,-1931.6800,0.0017,3051.2664,-2910741.1619,-0.0027,-0.0027,0,0,0
7,0.000000,0.000000,0.636400,1,72.7249,12.6818,-922.2788,65657.8800,0.6072,-137172.9663,10508294.4779,12.9680,-6115.0231,0,1,1
7,0.000000,0.000000,0.636400,2,72.7249,-12.5432,912.1992,66226.6400,0.6125,135699.7418,10574404.9404,-12.8287,-5984.3790,0,1,1
7,0.000000,0.000000,0.636400,3,125.5330,6.2151,-780.2033,-80466.7400,0.4311,-192743.4775,-19431870.5354,6.1155,-2347.4472,0,1,1
