# partition_overlap_shell_SrTiO3.csv - scripts/scan_partition_sensitivity.py
# Per-mode Route S vs Route H comparison over the 150-200 cm-1 shell at 300 K.
# gamma_S = -D/(2*omega0^2); gamma_H = -D/(2*omega_r^2), omega_r from the
# 300 K bare->renormalized eigenvalue map; rel_diff = (gamma_H-gamma_S)/|gamma_S|.
q_index,branch,omega0_cm1,omega_r_cm1,D_cm2,gamma_S,gamma_H,rel_diff
192,5,156.1660,183.7616,126075.3722,-2.584801,-1.866770,0.277790
193,5,156.1660,183.7616,126075.3722,-2.584801,-1.866770,0.277790
194,5,159.5413,196.8466,97226.4253,-1.909889,-1.254580,0.343114
195,5,164.4916,190.9817,52899.7049,-0.977542,-0.725170,0.258170
196,4,167.5839,196.2287,12187.6016,-0.216982,-0.158257,0.270644
196,5,181.6083,212.3566,38183.9482,-0.578868,-0.423369,0.268626
196,6,192.2522,224.1652,-58323.5916,0.788990,0.580334,-0.264460
197,4,154.2329,181.2668,-9309.0765,0.195669,0.141658,-0.276035
197,5,168.9289,193.9578,-24052.8823,0.421433,0.319685,-0.241434
197,6,192.4086,224.9646,-34056.3422,0.459959,0.336465,-0.268489
198,5,167.9085,195.6847,-180456.6390,3.200351,2.356292,-0.263740
198,6,169.3118,194.8184,-10772.5969,0.187895,0.141916,-0.244709
198,7,199.3402,228.9872,-104112.2529,1.310033,0.992772,-0.242178
199,4,160.8842,190.6590,-39696.8673,0.766831,0.546024,-0.287948
199,5,162.2677,187.9766,-59590.2180,1.131568,0.843213,-0.254828
199,6,186.8165,216.4994,-114005.1238,1.633293,1.216133,-0.255410
200,4,170.5950,202.1966,56815.7000,-0.976126,-0.694850,0.288156
200,5,172.8668,195.9237,55283.8117,-0.925006,-0.720102,0.221516
200,6,189.2145,215.7782,-163821.3721,2.287873,1.759241,-0.231058
201,5,167.1975,196.8728,158441.5989,-2.833867,-2.043939,0.278746
202,5,162.6052,188.0264,262696.4870,-4.967700,-3.715240,0.252121
203,5,159.5413,196.8466,320094.9869,-6.287858,-4.130408,0.343114
204,5,159.5413,196.8466,320094.9869,-6.287858,-4.130408,0.343114
205,5,162.6052,188.0264,262696.4870,-4.967700,-3.715240,0.252121
206,5,167.1975,196.8728,158441.5989,-2.833867,-2.043939,0.278746
207,4,170.5950,202.1966,56815.7000,-0.976126,-0.694850,0.288156
207,5,172.8668,195.9237,55283.8117,-0.925006,-0.720102,0.221516
207,6,189.2145,215.7782,-163821.3721,2.287873,1.759241,-0.231058
208,4,160.8842,190.6590,-39696.8673,0.766831,0.546024,-0.287948
208,5,162.2677,187.9766,-59590.2180,1.131568,0.843213,-0.254828
208,6,186.8165,216.4994,-114005.1238,1.633293,1.216133,-0.255410
209,5,154.1963,181.2508,-255133.1132,5.365238,3.883085,-0.276251
209,6,154.2438,181.2716,-20994.6718,0.441229,0.319462,-0.275971
209,7,182.3716,213.2785,-286578.0699,4.308227,3.150061,-0.268827
210,5,168.3959,194.8630,-74225.9682,1.308768,0.977388,-0.253200
210,6,172.2358,197.4312,-215623.0125,3.634281,2.765882,-0.238946
210,7,187.9721,213.3861,-22534.9816,0.318890,0.247454,-0.224013
211,4,159.7666,195.8256,101895.3411,-1.995962,-1.328573,0.334369
211,5,173.5131,196.5100,26478.2588,-0.439739,-0.342839,0.220358
211,6,175.9483,209.8659,-255568.6391,4.127694,2.901308,-0.297112
212,5,170.8561,201.3811,209931.8517,-3.595734,-2.588278,0.280181
212,6,194.1189,222.7237,-42334.2726,0.561729,0.426706,-0.240369
213,5,167.1975,196.8728,323983.1205,-5.794722,-4.179469,0.278746
214,5,164.4916,190.9817,362893.3845,-6.705967,-4.974687,0.258170
215,5,164.4916,190.9817,362893.3845,-6.705967,-4.974687,0.258170
216,5,167.1975,196.8728,323983.1205,-5.794722,-4.179469,0.278746
217,5,170.8561,201.3811,209931.8517,-3.595734,-2.588278,0.280181
217,6,194.1189,222.7237,-42334.2726,0.561729,0.426706,-0.240369
218,4,159.7666,195.8256,101895.3411,-1.995962,-1.328573,0.334369
218,5,173.5131,196.5100,26478.2588,-0.439739,-0.342839,0.220358
218,6,175.9483,209.8659,-255568.6391,4.127694,2.901308,-0.297112
219,5,168.3959,194.8630,-74225.9682,1.308768,0.977388,-0.253200
219,6,172.2358,197.4312,-215623.0125,3.634281,2.765882,-0.238946
219,7,187.9721,213.3861,-22534.9816,0.318890,0.247454,-0.224013
220,6,151.1262,194.3537,-24612.3039,0.538819,0.325789,-0.395364
220,7,171.7638,198.5474,-232133.3960,3.934089,2.944279,-0.251598
221,6,173.5524,196.8089,-230768.2504,3.830761,2.978905,-0.222372
221,7,173.8422,198.6430,67316.2530,-1.113729,-0.852989,0.234115
222,6,175.3578,207.2995,-100432.2723,1.633027,1.168549,-0.284427
223,4,159.7666,195.8256,-9616.8364,0.188378,0.125390,-0.334369
223,5,173.5131,196.5100,187743.9262,-3.117964,-2.430896,0.220358
223,6,175.9483,209.8659,72856.0353,-1.176699,-0.827088,0.297112
224,4,170.5950,202.1966,161016.7791,-2.766359,-1.969217,0.288156
224,5,172.8668,195.9237,124028.7015,-2.075242,-1.615543,0.221516
224,6,189.2145,215.7782,140055.5008,-1.955967,-1.504024,0.231058
225,4,167.5839,196.2287,237765.6365,-4.233062,-3.087409,0.270644
225,5,181.6083,212.3566,176615.3697,-2.677487,-1.958245,0.268626
225,6,192.2522,224.1652,19380.3900,-0.262174,-0.192840,0.264460
226,4,167.5839,196.2287,237765.6365,-4.233062,-3.087409,0.270644
226,5,181.6083,212.3566,176615.3697,-2.677487,-1.958245,0.268626
226,6,192.2522,224.1652,19380.3900,-0.262174,-0.192840,0.264460
227,4,170.5950,202.1966,161016.7791,-2.766359,-1.969217,0.288156
227,5,172.8668,195.9237,124028.7015,-2.075242,-1.615543,0.221516
227,6,189.2145,215.7782,140055.5008,-1.955967,-1.504024,0.231058
228,4,159.7666,195.8256,-9616.8364,0.188378,0.125390,-0.334369
228,5,173.5131,196.5100,187743.9262,-3.117964,-2.430896,0.220358
228,6,175.9483,209.8659,72856.0353,-1.176699,-0.827088,0.297112
229,6,175.3578,207.2995,-100432.2723,1.633027,1.168549,-0.284427
230,6,173.5524,196.8089,-230768.2504,3.830761,2.978905,-0.222372
230,7,173.8422,198.6430,67316.2530,-1.113729,-0.852989,0.234115
231,6,155.0374,181.8102,-15151.9441,0.315185,0.229193,-0.272830
231,7,163.1188,188.1022,126818.8013,-2.383119,-1.792115,0.247996
231,8,177.8464,207.4827,-566975.0329,8.962802,6.585217,-0.265273
232,6,162.9183,188.0726,61708.2432,-1.162448,-0.872293,0.249607
232,7,176.9123,208.6621,-488410.3210,7.802589,5.608770,-0.281166
232,8,176.9123,208.6621,74452.5775,-1.189416,-0.854993,0.281166
233,6,173.5524,196.8089,-297704.5597,4.941906,3.842963,-0.222372
233,7,173.8422,198.6430,70072.7602,-1.159335,-0.887917,0.234115
234,5,168.3959,194.8630,-97371.3274,1.716872,1.282160,-0.253200
234,6,172.2358,197.4312,89134.5206,-1.502344,-1.143364,0.238946
234,7,187.9721,213.3861,184528.9663,-2.611247,-2.026292,0.224013
235,4,160.8842,190.6590,-35359.1529,0.683039,0.486359,-0.287948
235,5,162.2677,187.9766,259838.3037,-4.934112,-3.676762,0.254828
235,6,186.8165,216.4994,10457.7790,-0.149823,-0.111557,0.255410
236,4,154.2329,181.2668,81413.1903,-1.711240,-1.238877,0.276035
236,5,168.9289,193.9578,215977.3591,-3.784166,-2.870539,0.241434
236,6,192.4086,224.9646,-1620.4023,0.021885,0.016009,-0.268489
237,4,154.2329,181.2668,81413.1903,-1.711240,-1.238877,0.276035
237,5,168.9289,193.9578,215977.3591,-3.784166,-2.870539,0.241434
237,6,192.4086,224.9646,-1620.4023,0.021885,0.016009,-0.268489
238,4,160.8842,190.6590,-35359.1529,0.683039,0.486359,-0.287948
238,5,162.2677,187.9766,259838.3037,-4.934112,-3.676762,0.254828
238,6,186.8165,216.4994,10457.7790,-0.149823,-0.111557,0.255410
239,5,168.3959,194.8630,-97371.3274,1.716872,1.282160,-0.253200
239,6,172.2358,197.4312,89134.5206,-1.502344,-1.143364,0.238946
239,7,187.9721,213.3861,184528.9663,-2.611247,-2.026292,0.224013
240,6,173.5524,196.8089,-297704.5597,4.941906,3.842963,-0.222372
240,7,173.8422,198.6430,70072.7602,-1.159335,-0.887917,0.234115
241,6,162.9183,188.0726,61708.2432,-1.162448,-0.872293,0.249607
241,7,176.9123,208.6621,-488410.3210,7.802589,5.608770,-0.281166
241,8,176.9123,208.6621,74452.5775,-1.189416,-0.854993,0.281166
242,6,152.0340,188.0924,-427.4082,0.009246,0.006040,-0.346660
242,7,152.0340,188.0924,-3981.9256,0.086135,0.056276,-0.346660
242,8,196.8774,224.2034,171.2561,-0.002209,-0.001703,0.228907
243,6,151.1262,194.3537,-3099.2609,0.067850,0.041024,-0.395364
243,7,171.7638,198.5474,-497.5956,0.008433,0.006311,-0.251598
244,6,158.8894,199.7630,1768.2370,-0.035020,-0.022155,0.367356
245,5,162.7111,188.0420,-1732.7255,0.032724,0.024501,-0.251271
245,6,188.4963,214.8256,3253.6170,-0.045786,-0.035250,0.230102
246,5,178.5162,207.7436,-600.3335,0.009419,0.006955,-0.261586
247,5,191.0866,218.9916,1957.2287,-0.026801,-0.020406,0.238613
248,5,191.0866,218.9916,1957.2287,-0.026801,-0.020406,0.238613
249,5,178.5162,207.7436,-600.3335,0.009419,0.006955,-0.261586
250,5,162.7111,188.0420,-1732.7255,0.032724,0.024501,-0.251271
250,6,188.4963,214.8256,3253.6170,-0.045786,-0.035250,0.230102
251,6,158.8894,199.7630,1768.2370,-0.035020,-0.022155,0.367356
252,6,151.1262,194.3537,-3099.2609,0.067850,0.041024,-0.395364
252,7,171.7638,198.5474,-497.5956,0.008433,0.006311,-0.251598
253,6,151.1262,194.3537,23996.2422,-0.525332,-0.317634,0.395364
253,7,171.7638,198.5474,226627.1301,-3.840772,-2.874440,0.251598
254,6,173.5524,196.8089,-69052.2758,1.146270,0.891371,-0.222372
254,7,173.8422,198.6430,224861.7402,-3.720277,-2.849304,0.234115
255,6,175.3578,207.2995,96166.2111,-1.563661,-1.118913,0.284427
256,4,159.7666,195.8256,7384.1806,-0.144644,-0.096279,0.334369
256,5,173.5131,196.5100,-185648.5714,3.083166,2.403765,-0.220358
256,6,175.9483,209.8659,-70574.0363,1.139843,0.801182,-0.297112
257,4,170.5950,202.1966,-170694.9530,2.932636,2.087580,-0.288156
257,5,172.8668,195.9237,-114336.0675,1.913065,1.489291,-0.221516
257,6,189.2145,215.7782,-132753.8152,1.853994,1.425613,-0.231058
258,4,167.5839,196.2287,-243089.9149,4.327852,3.156545,-0.270644
258,5,181.6083,212.3566,-165980.0012,2.516255,1.840324,-0.268626
258,6,192.2522,224.1652,-14394.4710,0.194726,0.143228,-0.264460
259,4,167.5839,196.2287,-243089.9149,4.327852,3.156545,-0.270644
259,5,181.6083,212.3566,-165980.0012,2.516255,1.840324,-0.268626
259,6,192.2522,224.1652,-14394.4710,0.194726,0.143228,-0.264460
260,4,170.5950,202.1966,-170694.9530,2.932636,2.087580,-0.288156
260,5,172.8668,195.9237,-114336.0675,1.913065,1.489291,-0.221516
260,6,189.2145,215.7782,-132753.8152,1.853994,1.425613,-0.231058
261,4,159.7666,195.8256,7384.1806,-0.144644,-0.096279,0.334369
261,5,173.5131,196.5100,-185648.5714,3.083166,2.403765,-0.220358
261,6,175.9483,209.8659,-70574.0363,1.139843,0.801182,-0.297112
262,6,175.3578,207.2995,96166.2111,-1.563661,-1.118913,0.284427
263,6,173.5524,196.8089,-69052.2758,1.146270,0.891371,-0.222372
263,7,173.8422,198.6430,224861.7402,-3.720277,-2.849304,0.234115
264,6,158.8894,199.7630,41036.8529,-0.812745,-0.514178,0.367356
265,6,175.3578,207.2995,-78907.8921,1.283041,0.918109,-0.284427
266,4,150.5836,191.9507,-124986.6850,2.755995,1.696111,-0.384574
266,5,150.5836,191.9507,113454.0463,-2.501697,-1.539609,0.384574
266,6,195.9231,222.7745,-130082.8092,1.694410,1.310566,-0.226535
267,4,156.6586,184.5513,49357.3146,-1.005572,-0.724582,0.279433
267,5,164.7373,192.3883,-103740.5691,1.911325,1.401397,-0.266793
267,6,187.5753,211.3421,-93556.2066,1.329509,1.047299,-0.212266
268,4,164.2038,193.8608,-31495.6133,0.584055,0.419025,-0.282559
268,5,183.5961,220.7867,-100121.0934,1.485145,1.026951,-0.308518
268,6,184.3068,225.2220,-16265.8208,0.239422,0.160334,-0.330330
269,4,169.1772,193.5338,-123774.4867,2.162307,1.652295,-0.235865
269,5,183.8927,222.6467,83421.8908,-1.233448,-0.841429,0.317824
269,6,197.0307,224.4329,-115398.4670,1.486285,1.145505,-0.229283
270,4,169.1772,193.5338,-123774.4867,2.162307,1.652295,-0.235865
270,5,183.8927,222.6467,83421.8908,-1.233448,-0.841429,0.317824
270,6,197.0307,224.4329,-115398.4670,1.486285,1.145505,-0.229283
271,4,164.2038,193.8608,-31495.6133,0.584055,0.419025,-0.282559
271,5,183.5961,220.7867,-100121.0934,1.485145,1.026951,-0.308518
271,6,184.3068,225.2220,-16265.8208,0.239422,0.160334,-0.330330
272,4,156.6586,184.5513,49357.3146,-1.005572,-0.724582,0.279433
272,5,164.7373,192.3883,-103740.5691,1.911325,1.401397,-0.266793
272,6,187.5753,211.3421,-93556.2066,1.329509,1.047299,-0.212266
273,4,150.5836,191.9507,-124986.6850,2.755995,1.696111,-0.384574
273,5,150.5836,191.9507,113454.0463,-2.501697,-1.539609,0.384574
273,6,195.9231,222.7745,-130082.8092,1.694410,1.310566,-0.226535
274,6,175.3578,207.2995,-78907.8921,1.283041,0.918109,-0.284427
275,5,162.7111,188.0420,94728.4019,-1.789023,-1.339494,0.251271
275,6,188.4963,214.8256,48129.0411,-0.677286,-0.521441,0.230102
276,4,159.7666,195.8256,91938.4658,-1.800923,-1.198750,0.334369
276,5,173.5131,196.5100,-66010.9854,1.096280,0.854706,-0.220358
276,6,175.9483,209.8659,-59361.8592,0.958755,0.673897,-0.297112
277,4,156.6586,184.5513,-35122.4148,0.715560,0.515609,-0.279433
277,5,164.7373,192.3883,33034.0493,-0.608622,-0.446246,0.266793
277,6,187.5753,211.3421,-91481.6325,1.300027,1.024075,-0.212266
278,5,163.8569,191.2207,36868.6658,-0.686591,-0.504148,0.265724
278,6,178.3548,207.3323,-128166.7449,2.014538,1.490772,-0.259993
279,5,169.6882,198.4616,-77661.8804,1.348573,0.985882,-0.268944
279,6,181.3602,212.0570,-60745.3816,0.923420,0.675426,-0.268560
280,5,170.5155,202.4439,-102243.1781,1.758233,1.247369,-0.290555
280,6,188.9709,215.4552,-46387.8902,0.649509,0.499644,-0.230735
281,5,170.5155,202.4439,-102243.1781,1.758233,1.247369,-0.290555
281,6,188.9709,215.4552,-46387.8902,0.649509,0.499644,-0.230735
282,5,169.6882,198.4616,-77661.8804,1.348573,0.985882,-0.268944
282,6,181.3602,212.0570,-60745.3816,0.923420,0.675426,-0.268560
283,5,163.8569,191.2207,36868.6658,-0.686591,-0.504148,0.265724
283,6,178.3548,207.3323,-128166.7449,2.014538,1.490772,-0.259993
284,4,156.6586,184.5513,-35122.4148,0.715560,0.515609,-0.279433
284,5,164.7373,192.3883,33034.0493,-0.608622,-0.446246,0.266793
284,6,187.5753,211.3421,-91481.6325,1.300027,1.024075,-0.212266
285,4,159.7666,195.8256,91938.4658,-1.800923,-1.198750,0.334369
285,5,173.5131,196.5100,-66010.9854,1.096280,0.854706,-0.220358
285,6,175.9483,209.8659,-59361.8592,0.958755,0.673897,-0.297112
286,5,178.5162,207.7436,120784.1983,-1.895069,-1.399345,0.261586
287,4,170.5950,202.1966,13421.0355,-0.230581,-0.164138,0.288156
287,5,172.8668,195.9237,130579.4692,-2.184849,-1.700870,0.221516
287,6,189.2145,215.7782,-115418.1643,1.611890,1.239450,-0.231058
288,4,164.2038,193.8608,-3249.0127,0.060250,0.043226,-0.282559
288,5,183.5961,220.7867,110544.3836,-1.639759,-1.133864,0.308518
288,6,184.3068,225.2220,-120500.3271,1.773682,1.187782,-0.330330
289,5,169.6882,198.4616,76886.7545,-1.335113,-0.976043,0.268944
289,6,181.3602,212.0570,-110674.2936,1.682414,1.230585,-0.268560
290,5,177.0942,208.4334,40983.4536,-0.653386,-0.471676,0.278105
290,6,180.2874,210.7611,-116173.0421,1.787083,1.307659,-0.268272
291,5,177.6582,207.7214,-54441.3280,0.862439,0.630865,-0.268511
291,6,185.7286,222.1910,-27101.7428,0.392835,0.274482,-0.301278
292,5,177.6582,207.7214,-54441.3280,0.862439,0.630865,-0.268511
292,6,185.7286,222.1910,-27101.7428,0.392835,0.274482,-0.301278
293,5,177.0942,208.4334,40983.4536,-0.653386,-0.471676,0.278105
293,6,180.2874,210.7611,-116173.0421,1.787083,1.307659,-0.268272
294,5,169.6882,198.4616,76886.7545,-1.335113,-0.976043,0.268944
294,6,181.3602,212.0570,-110674.2936,1.682414,1.230585,-0.268560
295,4,164.2038,193.8608,-3249.0127,0.060250,0.043226,-0.282559
295,5,183.5961,220.7867,110544.3836,-1.639759,-1.133864,0.308518
295,6,184.3068,225.2220,-120500.3271,1.773682,1.187782,-0.330330
296,4,170.5950,202.1966,13421.0355,-0.230581,-0.164138,0.288156
296,5,172.8668,195.9237,130579.4692,-2.184849,-1.700870,0.221516
296,6,189.2145,215.7782,-115418.1643,1.611890,1.239450,-0.231058
297,5,191.0866,218.9916,91960.3944,-1.259246,-0.958773,0.238613
298,4,167.5839,196.2287,12645.7714,-0.225139,-0.164207,0.270644
298,5,181.6083,212.3566,84538.3753,-1.281601,-0.937330,0.268626
298,6,192.2522,224.1652,-59143.3187,0.800079,0.588490,-0.264460
299,4,169.1772,193.5338,4894.6361,-0.085508,-0.065340,0.235865
299,5,183.8927,222.6467,-13296.2914,0.196595,0.134112,-0.317824
299,6,197.0307,224.4329,24654.9664,-0.317546,-0.244738,0.229283
300,5,170.5155,202.4439,16031.1950,-0.275682,-0.195581,0.290555
300,6,188.9709,215.4552,-22230.5658,0.311265,0.239446,-0.230735
301,5,177.6582,207.7214,3925.0880,-0.062180,-0.045484,0.268511
301,6,185.7286,222.1910,-26509.6695,0.384253,0.268486,-0.301278
302,5,183.6363,221.0395,-47315.1244,0.701541,0.484206,-0.309797
302,6,183.8410,222.3234,23055.5308,-0.341083,-0.233225,0.316223
303,5,183.6363,221.0395,-47315.1244,0.701541,0.484206,-0.309797
303,6,183.8410,222.3234,23055.5308,-0.341083,-0.233225,0.316223
304,5,177.6582,207.7214,3925.0880,-0.062180,-0.045484,0.268511
304,6,185.7286,222.1910,-26509.6695,0.384253,0.268486,-0.301278
305,5,170.5155,202.4439,16031.1950,-0.275682,-0.195581,0.290555
305,6,188.9709,215.4552,-22230.5658,0.311265,0.239446,-0.230735
306,4,169.1772,193.5338,4894.6361,-0.085508,-0.065340,0.235865
306,5,183.8927,222.6467,-13296.2914,0.196595,0.134112,-0.317824
306,6,197.0307,224.4329,24654.9664,-0.317546,-0.244738,0.229283
307,4,167.5839,196.2287,12645.7714,-0.225139,-0.164207,0.270644
307,5,181.6083,212.3566,84538.3753,-1.281601,-0.937330,0.268626
307,6,192.2522,224.1652,-59143.3187,0.800079,0.588490,-0.264460
308,5,191.0866,218.9916,-78440.0550,1.074107,0.817811,-0.238613
309,4,167.5839,196.2287,-15071.2437,0.268321,0.195702,-0.270644
309,5,181.6083,212.3566,-78574.5174,1.191189,0.871205,-0.268626
309,6,192.2522,224.1652,71096.0367,-0.961773,-0.707423,0.264460
310,4,169.1772,193.5338,1977.0301,-0.034538,-0.026392,0.235865
310,5,183.8927,222.6467,20444.5492,-0.302286,-0.206213,0.317824
310,6,197.0307,224.4329,-16494.2903,0.212440,0.163731,-0.229283
311,5,170.5155,202.4439,-11472.3247,0.197285,0.139963,-0.290555
311,6,188.9709,215.4552,32998.2824,-0.462032,-0.355425,0.230735
312,5,177.6582,207.7214,427.5044,-0.006772,-0.004954,0.268511
312,6,185.7286,222.1910,35594.4080,-0.515934,-0.360495,0.301278
313,5,183.6363,221.0395,-17274.6671,0.256131,0.176783,-0.309797
313,6,183.8410,222.3234,53084.7912,-0.785336,-0.536994,0.316223
314,5,183.6363,221.0395,-17274.6671,0.256131,0.176783,-0.309797
314,6,183.8410,222.3234,53084.7912,-0.785336,-0.536994,0.316223
315,5,177.6582,207.7214,427.5044,-0.006772,-0.004954,0.268511
315,6,185.7286,222.1910,35594.4080,-0.515934,-0.360495,0.301278
316,5,170.5155,202.4439,-11472.3247,0.197285,0.139963,-0.290555
316,6,188.9709,215.4552,32998.2824,-0.462032,-0.355425,0.230735
317,4,169.1772,193.5338,1977.0301,-0.034538,-0.026392,0.235865
317,5,183.8927,222.6467,20444.5492,-0.302286,-0.206213,0.317824
317,6,197.0307,224.4329,-16494.2903,0.212440,0.163731,-0.229283
318,4,167.5839,196.2287,-15071.2437,0.268321,0.195702,-0.270644
318,5,181.6083,212.3566,-78574.5174,1.191189,0.871205,-0.268626
318,6,192.2522,224.1652,71096.0367,-0.961773,-0.707423,0.264460
319,5,178.5162,207.7436,-110714.9605,1.737085,1.282688,-0.261586
320,4,170.5950,202.1966,-13696.2551,0.235309,0.167504,-0.288156
320,5,172.8668,195.9237,-124068.7069,2.075911,1.616064,-0.221516
320,6,189.2145,215.7782,120611.2241,-1.684415,-1.295217,0.231058
321,4,164.2038,193.8608,11685.4761,-0.216696,-0.155466,0.282559
321,5,183.5961,220.7867,-106531.6428,1.580236,1.092705,-0.308518
321,6,184.3068,225.2220,126965.0393,-1.868838,-1.251505,0.330330
322,5,169.6882,198.4616,-69695.2017,1.210234,0.884749,-0.268944
322,6,181.3602,212.0570,116730.7866,-1.774482,-1.297927,0.268560
323,5,177.0942,208.4334,-32263.7318,0.514370,0.371321,-0.278105
323,6,180.2874,210.7611,119082.0492,-1.831833,-1.340403,0.268272
324,5,177.6582,207.7214,59955.7502,-0.949796,-0.694766,0.268511
324,6,185.7286,222.1910,31218.8518,-0.452511,-0.316180,0.301278
325,5,177.6582,207.7214,59955.7502,-0.949796,-0.694766,0.268511
325,6,185.7286,222.1910,31218.8518,-0.452511,-0.316180,0.301278
326,5,177.0942,208.4334,-32263.7318,0.514370,0.371321,-0.278105
326,6,180.2874,210.7611,119082.0492,-1.831833,-1.340403,0.268272
327,5,169.6882,198.4616,-69695.2017,1.210234,0.884749,-0.268944
327,6,181.3602,212.0570,116730.7866,-1.774482,-1.297927,0.268560
328,4,164.2038,193.8608,11685.4761,-0.216696,-0.155466,0.282559
328,5,183.5961,220.7867,-106531.6428,1.580236,1.092705,-0.308518
328,6,184.3068,225.2220,126965.0393,-1.868838,-1.251505,0.330330
329,4,170.5950,202.1966,-13696.2551,0.235309,0.167504,-0.288156
329,5,172.8668,195.9237,-124068.7069,2.075911,1.616064,-0.221516
329,6,189.2145,215.7782,120611.2241,-1.684415,-1.295217,0.231058
330,5,162.7111,188.0420,-86828.2166,1.639822,1.227782,-0.251271
330,6,188.4963,214.8256,-43401.6477,0.610760,0.470223,-0.230102
331,4,159.7666,195.8256,-84585.3028,1.656887,1.102875,-0.334369
331,5,173.5131,196.5100,65693.0140,-1.090999,-0.850589,0.220358
331,6,175.9483,209.8659,61050.0434,-0.986020,-0.693062,0.297112
332,4,156.6586,184.5513,42240.4862,-0.860578,-0.620104,0.279433
332,5,164.7373,192.3883,-30896.2495,0.569235,0.417367,-0.266793
332,6,187.5753,211.3421,97337.2968,-1.383241,-1.089625,0.212266
333,5,163.8569,191.2207,-30564.6186,0.569193,0.417945,-0.265724
333,6,178.3548,207.3323,133809.2545,-2.103228,-1.556403,0.259993
334,5,169.6882,198.4616,84928.3857,-1.474753,-1.078127,0.268944
334,6,181.3602,212.0570,65478.5542,-0.995372,-0.728055,0.268560
335,5,170.5155,202.4439,108678.6835,-1.868902,-1.325883,0.290555
335,6,188.9709,215.4552,51473.0560,-0.720710,-0.554417,0.230735
336,5,170.5155,202.4439,108678.6835,-1.868902,-1.325883,0.290555
336,6,188.9709,215.4552,51473.0560,-0.720710,-0.554417,0.230735
337,5,169.6882,198.4616,84928.3857,-1.474753,-1.078127,0.268944
337,6,181.3602,212.0570,65478.5542,-0.995372,-0.728055,0.268560
338,5,163.8569,191.2207,-30564.6186,0.569193,0.417945,-0.265724
338,6,178.3548,207.3323,133809.2545,-2.103228,-1.556403,0.259993
339,4,156.6586,184.5513,42240.4862,-0.860578,-0.620104,0.279433
339,5,164.7373,192.3883,-30896.2495,0.569235,0.417367,-0.266793
339,6,187.5753,211.3421,97337.2968,-1.383241,-1.089625,0.212266
340,4,159.7666,195.8256,-84585.3028,1.656887,1.102875,-0.334369
340,5,173.5131,196.5100,65693.0140,-1.090999,-0.850589,0.220358
340,6,175.9483,209.8659,61050.0434,-0.986020,-0.693062,0.297112
341,6,158.8894,199.7630,-37865.1463,0.749928,0.474438,-0.367356
342,6,175.3578,207.2995,76948.6518,-1.251183,-0.895312,0.284427
343,4,150.5836,191.9507,-109662.9663,2.418102,1.488163,-0.384574
343,5,150.5836,191.9507,127921.5703,-2.820710,-1.735939,0.384574
343,6,195.9231,222.7745,137250.6422,-1.787775,-1.382781,0.226535
344,4,156.6586,184.5513,-47081.7731,0.959211,0.691176,-0.279433
344,5,164.7373,192.3883,107892.5119,-1.987821,-1.457484,0.266793
344,6,187.5753,211.3421,100814.4883,-1.432655,-1.128550,0.212266
345,4,164.2038,193.8608,35715.9743,-0.662317,-0.475174,0.282559
345,5,183.5961,220.7867,107532.7613,-1.595086,-1.102973,0.308518
345,6,184.3068,225.2220,20249.1184,-0.298053,-0.199597,0.330330
346,4,169.1772,193.5338,132408.5956,-2.313143,-1.767554,0.235865
346,5,183.8927,222.6467,-84364.2392,1.247382,0.850934,-0.317824
346,6,197.0307,224.4329,125743.9651,-1.619531,-1.248199,0.229283
347,4,169.1772,193.5338,132408.5956,-2.313143,-1.767554,0.235865
347,5,183.8927,222.6467,-84364.2392,1.247382,0.850934,-0.317824
347,6,197.0307,224.4329,125743.9651,-1.619531,-1.248199,0.229283
348,4,164.2038,193.8608,35715.9743,-0.662317,-0.475174,0.282559
348,5,183.5961,220.7867,107532.7613,-1.595086,-1.102973,0.308518
348,6,184.3068,225.2220,20249.1184,-0.298053,-0.199597,0.330330
349,4,156.6586,184.5513,-47081.7731,0.959211,0.691176,-0.279433
349,5,164.7373,192.3883,107892.5119,-1.987821,-1.457484,0.266793
349,6,187.5753,211.3421,100814.4883,-1.432655,-1.128550,0.212266
350,4,150.5836,191.9507,-109662.9663,2.418102,1.488163,-0.384574
350,5,150.5836,191.9507,127921.5703,-2.820710,-1.735939,0.384574
350,6,195.9231,222.7745,137250.6422,-1.787775,-1.382781,0.226535
351,6,175.3578,207.2995,76948.6518,-1.251183,-0.895312,0.284427
352,6,151.1262,194.3537,-24612.3039,0.538819,0.325789,-0.395364
352,7,171.7638,198.5474,-232133.3960,3.934089,2.944279,-0.251598
353,6,173.5524,196.8089,-230768.2504,3.830761,2.978905,-0.222372
353,7,173.8422,198.6430,67316.2530,-1.113729,-0.852989,0.234115
354,6,175.3578,207.2995,-100432.2723,1.633027,1.168549,-0.284427
355,4,159.7666,195.8256,-9616.8364,0.188378,0.125390,-0.334369
355,5,173.5131,196.5100,187743.9262,-3.117964,-2.430896,0.220358
355,6,175.9483,209.8659,72856.0353,-1.176699,-0.827088,0.297112
356,4,170.5950,202.1966,161016.7791,-2.766359,-1.969217,0.288156
356,5,172.8668,195.9237,124028.7015,-2.075242,-1.615543,0.221516
356,6,189.2145,215.7782,140055.5008,-1.955967,-1.504024,0.231058
357,4,167.5839,196.2287,237765.6365,-4.233062,-3.087409,0.270644
